Commodity,Date,Unit,Minimum,Maximum,Average
Tofu,2013-06-16,Kg,55.0,60.0,57.5
Gundruk,2013-06-16,Kg,180.0,190.0,185.0
Apple(Jholey),2013-06-16,Kg,100.0,120.0,110.0
Banana,2013-06-16,Doz,70.0,80.0,75.0
Lime,2013-06-16,Kg,200.0,400.0,300.0
Pomegranate,2013-06-16,Kg,200.0,220.0,210.0
Mango(Maldah),2013-06-16,Kg,50.0,60.0,55.0
Grapes(Green),2013-06-16,Kg,250.0,260.0,255.0
Water Melon(Green),2013-06-16,Kg,15.0,18.0,16.5
Sweet Orange,2013-06-16,Kg,90.0,100.0,95.0
Pineapple,2013-06-16,1 Pc,60.0,70.0,65.0
Cucumber(Local),2013-06-16,Kg,25.0,30.0,27.5
Jack Fruit,2013-06-16,Kg,20.0,25.0,22.5
Papaya(Nepali),2013-06-16,Kg,60.0,70.0,65.0
Sugarcane,2013-06-16,1 Pc,50.0,60.0,55.0
Ginger,2013-06-16,Kg,140.0,150.0,145.0
Chilli Dry,2013-06-16,Kg,170.0,180.0,175.0
Chilli Green,2013-06-16,Kg,30.0,40.0,35.0
Capsicum,2013-06-16,Kg,55.0,60.0,57.5
Garlic Green,2013-06-16,Kg,45.0,50.0,47.5
Coriander Green,2013-06-16,Kg,90.0,110.0,100.0
Garlic Dry Chinese,2013-06-16,Kg,100.0,110.0,105.0
Garlic Dry Nepali,2013-06-16,Kg,50.0,60.0,55.0
Clive Dry,2013-06-16,Kg,70.0,80.0,75.0
Clive Green,2013-06-16,Kg,70.0,80.0,75.0
Fish Fresh,2013-06-16,Kg,210.0,220.0,215.0
Tomato Big(Nepali),2013-06-17,Kg,25.0,30.0,27.5
Tomato Small(Local),2013-06-17,Kg,20.0,25.0,22.5
Potato Red,2013-06-17,Kg,20.0,21.0,20.5
Potato White,2013-06-17,Kg,15.0,16.0,15.5
Onion Dry (Indian),2013-06-17,Kg,29.0,30.0,29.5
Carrot(Local),2013-06-17,Kg,35.0,40.0,37.5
Cabbage(Local),2013-06-17,Kg,6.0,10.0,8.0
Cauli Local,2013-06-17,Kg,25.0,30.0,27.5
Raddish Red,2013-06-17,Kg,35.0,40.0,37.5
Raddish White(Local),2013-06-17,Kg,30.0,35.0,32.5
Brinjal Long,2013-06-17,Kg,18.0,20.0,19.0
Brinjal Round,2013-06-17,Kg,25.0,30.0,27.5
Cow pea(Long),2013-06-17,Kg,20.0,25.0,22.5
Green Peas,2013-06-17,Kg,55.0,60.0,57.5
French Bean(Local),2013-06-17,Kg,30.0,35.0,32.5
Soyabean Green,2013-06-17,Kg,55.0,60.0,57.5
Bitter Gourd,2013-06-17,Kg,16.0,20.0,18.0
Bottle Gourd,2013-06-17,Kg,18.0,20.0,19.0
Pointed Gourd(Local),2013-06-17,Kg,30.0,35.0,32.5
Snake Gourd,2013-06-17,Kg,30.0,35.0,32.5
Smooth Gourd,2013-06-17,Kg,15.0,20.0,17.5
Sponge Gourd,2013-06-17,Kg,45.0,50.0,47.5
Pumpkin,2013-06-17,Kg,18.0,20.0,19.0
Squash(Long),2013-06-17,Kg,20.0,25.0,22.5
Okara,2013-06-17,Kg,18.0,22.0,20.0
Christophine,2013-06-17,Kg,35.0,40.0,37.5
Brd Leaf Mustard,2013-06-17,Kg,40.0,45.0,42.5
Spinach Leaf,2013-06-17,Kg,45.0,50.0,47.5
Cress Leaf,2013-06-17,Kg,40.0,45.0,42.5
Mustard Leaf,2013-06-17,Kg,35.0,40.0,37.5
Fenugreek Leaf,2013-06-17,Kg,40.0,45.0,42.5
Onion Green,2013-06-17,Kg,40.0,45.0,42.5
Mushroom(Kanya),2013-06-17,Kg,180.0,200.0,190.0
Asparagus,2013-06-17,Kg,100.0,150.0,125.0
Neuro,2013-06-17,Kg,50.0,60.0,55.0
Brocauli,2013-06-17,Kg,70.0,80.0,75.0
Sugarbeet,2013-06-17,Kg,35.0,40.0,37.5
Drumstick,2013-06-17,Kg,45.0,50.0,47.5
Red Cabbbage,2013-06-17,Kg,60.0,70.0,65.0
Lettuce,2013-06-17,Kg,45.0,50.0,47.5
Celery,2013-06-17,Kg,120.0,130.0,125.0
Parseley,2013-06-17,Kg,180.0,190.0,185.0
Fennel Leaf,2013-06-17,Kg,40.0,45.0,42.5
Mint,2013-06-17,Kg,120.0,130.0,125.0
Turnip A,2013-06-17,Kg,45.0,50.0,47.5
Tamarind,2013-06-17,Kg,65.0,70.0,67.5
Bamboo Shoot,2013-06-17,Kg,50.0,60.0,55.0
Tofu,2013-06-17,Kg,55.0,60.0,57.5
Gundruk,2013-06-17,Kg,190.0,200.0,195.0
Apple(Jholey),2013-06-17,Kg,110.0,130.0,120.0
Banana,2013-06-17,Doz,70.0,80.0,75.0
Lime,2013-06-17,Kg,200.0,400.0,300.0
Pomegranate,2013-06-17,Kg,200.0,220.0,210.0
Mango(Maldah),2013-06-17,Kg,50.0,60.0,55.0
Grapes(Green),2013-06-17,Kg,250.0,260.0,255.0
Water Melon(Green),2013-06-17,Kg,14.0,16.0,15.0
Sweet Orange,2013-06-17,Kg,90.0,100.0,95.0
Pineapple,2013-06-17,1 Pc,60.0,70.0,65.0
Cucumber(Local),2013-06-17,Kg,25.0,30.0,27.5
Jack Fruit,2013-06-17,Kg,20.0,25.0,22.5
Papaya(Nepali),2013-06-17,Kg,60.0,70.0,65.0
Sugarcane,2013-06-17,1 Pc,60.0,70.0,65.0
Ginger,2013-06-17,Kg,140.0,150.0,145.0
Chilli Dry,2013-06-17,Kg,170.0,180.0,175.0
Chilli Green,2013-06-17,Kg,30.0,40.0,35.0
Capsicum,2013-06-17,Kg,55.0,60.0,57.5
Garlic Green,2013-06-17,Kg,45.0,50.0,47.5
Coriander Green,2013-06-17,Kg,90.0,100.0,95.0
Garlic Dry Chinese,2013-06-17,Kg,100.0,110.0,105.0
Garlic Dry Nepali,2013-06-17,Kg,50.0,60.0,55.0
Clive Dry,2013-06-17,Kg,70.0,80.0,75.0
Clive Green,2013-06-17,Kg,50.0,60.0,55.0
Fish Fresh,2013-06-17,Kg,210.0,220.0,215.0
Tomato Big(Nepali),2013-06-18,Kg,25.0,30.0,27.5
Tomato Small(Local),2013-06-18,Kg,22.0,26.0,24.0
Potato Red,2013-06-18,Kg,19.0,20.0,19.5
Potato White,2013-06-18,Kg,15.0,16.0,15.5
Onion Dry (Indian),2013-06-18,Kg,33.0,35.0,34.0
Carrot(Local),2013-06-18,Kg,35.0,40.0,37.5
Cabbage(Local),2013-06-18,Kg,8.0,10.0,9.0
Cauli Local,2013-06-18,Kg,25.0,30.0,27.5
Raddish Red,2013-06-18,Kg,35.0,40.0,37.5
Raddish White(Local),2013-06-18,Kg,30.0,35.0,32.5
Brinjal Long,2013-06-18,Kg,20.0,25.0,22.5
Brinjal Round,2013-06-18,Kg,25.0,30.0,27.5
Cow pea(Long),2013-06-18,Kg,25.0,30.0,27.5
Green Peas,2013-06-18,Kg,55.0,60.0,57.5
French Bean(Local),2013-06-18,Kg,30.0,35.0,32.5
Soyabean Green,2013-06-18,Kg,55.0,60.0,57.5
Bitter Gourd,2013-06-18,Kg,16.0,22.0,19.0
Bottle Gourd,2013-06-18,Kg,22.0,24.0,23.0
Pointed Gourd(Local),2013-06-18,Kg,30.0,35.0,32.5
Snake Gourd,2013-06-18,Kg,30.0,35.0,32.5
Smooth Gourd,2013-06-18,Kg,20.0,25.0,22.5
Pumpkin,2013-06-18,Kg,18.0,20.0,19.0
Squash(Long),2013-06-18,Kg,18.0,20.0,19.0
Turnip,2013-06-18,Kg,45.0,50.0,47.5
Okara,2013-06-18,Kg,20.0,25.0,22.5
Christophine,2013-06-18,Kg,40.0,45.0,42.5
Brd Leaf Mustard,2013-06-18,Kg,40.0,45.0,42.5
Spinach Leaf,2013-06-18,Kg,45.0,50.0,47.5
Cress Leaf,2013-06-18,Kg,45.0,50.0,47.5
Mustard Leaf,2013-06-18,Kg,35.0,40.0,37.5
Fenugreek Leaf,2013-06-18,Kg,40.0,45.0,42.5
Onion Green,2013-06-18,Kg,35.0,40.0,37.5
Mushroom(Kanya),2013-06-18,Kg,180.0,200.0,190.0
Asparagus,2013-06-18,Kg,100.0,120.0,110.0
Neuro,2013-06-18,Kg,50.0,60.0,55.0
Brocauli,2013-06-18,Kg,70.0,80.0,75.0
Sugarbeet,2013-06-18,Kg,35.0,40.0,37.5
Drumstick,2013-06-18,Kg,35.0,40.0,37.5
Red Cabbbage,2013-06-18,Kg,50.0,60.0,55.0
Lettuce,2013-06-18,Kg,35.0,40.0,37.5
Celery,2013-06-18,Kg,120.0,130.0,125.0
Parseley,2013-06-18,Kg,180.0,200.0,190.0
Fennel Leaf,2013-06-18,Kg,40.0,45.0,42.5
Mint,2013-06-18,Kg,120.0,130.0,125.0
Turnip A,2013-06-18,Kg,45.0,50.0,47.5
Tamarind,2013-06-18,Kg,65.0,70.0,67.5
Bamboo Shoot,2013-06-18,Kg,50.0,60.0,55.0
Tofu,2013-06-18,Kg,55.0,60.0,57.5
Gundruk,2013-06-18,Kg,180.0,190.0,185.0
Apple(Jholey),2013-06-18,Kg,110.0,120.0,115.0
Banana,2013-06-18,Doz,70.0,80.0,75.0
Lime,2013-06-18,Kg,200.0,400.0,300.0
Pomegranate,2013-06-18,Kg,200.0,220.0,210.0
Mango(Maldah),2013-06-18,Kg,50.0,60.0,55.0
Grapes(Green),2013-06-18,Kg,250.0,260.0,255.0
Water Melon(Green),2013-06-18,Kg,12.0,15.0,13.5
Sweet Orange,2013-06-18,Kg,90.0,100.0,95.0
Pineapple,2013-06-18,1 Pc,60.0,70.0,65.0
Cucumber(Local),2013-06-18,Kg,25.0,30.0,27.5
Jack Fruit,2013-06-18,Kg,20.0,25.0,22.5
Papaya(Nepali),2013-06-18,Kg,55.0,60.0,57.5
Sugarcane,2013-06-18,1 Pc,50.0,60.0,55.0
Ginger,2013-06-18,Kg,140.0,150.0,145.0
Chilli Dry,2013-06-18,Kg,170.0,180.0,175.0
Chilli Green,2013-06-18,Kg,35.0,40.0,37.5
Capsicum,2013-06-18,Kg,55.0,60.0,57.5
Garlic Green,2013-06-18,Kg,45.0,50.0,47.5
Coriander Green,2013-06-18,Kg,90.0,100.0,95.0
Garlic Dry Chinese,2013-06-18,Kg,100.0,110.0,105.0
Garlic Dry Nepali,2013-06-18,Kg,50.0,60.0,55.0
Clive Dry,2013-06-18,Kg,70.0,80.0,75.0
Clive Green,2013-06-18,Kg,50.0,60.0,55.0
Fish Fresh,2013-06-18,Kg,210.0,220.0,215.0
Tomato Big(Nepali),2013-06-19,Kg,25.0,30.0,27.5
Tomato Small(Local),2013-06-19,Kg,24.0,28.0,26.0
Potato Red,2013-06-19,Kg,20.0,21.0,20.5
Potato White,2013-06-19,Kg,15.0,16.0,15.5
Onion Dry (Indian),2013-06-19,Kg,34.0,35.0,34.5
Carrot(Local),2013-06-19,Kg,38.0,42.0,40.0
Cabbage(Local),2013-06-19,Kg,10.0,15.0,12.5
Cauli Local,2013-06-19,Kg,25.0,30.0,27.5
Raddish Red,2013-06-19,Kg,35.0,40.0,37.5
Raddish White(Local),2013-06-19,Kg,30.0,35.0,32.5
Brinjal Long,2013-06-19,Kg,22.0,26.0,24.0
Brinjal Round,2013-06-19,Kg,25.0,30.0,27.5
Cow pea(Long),2013-06-19,Kg,25.0,30.0,27.5
Green Peas,2013-06-19,Kg,55.0,60.0,57.5
French Bean(Local),2013-06-19,Kg,30.0,35.0,32.5
Soyabean Green,2013-06-19,Kg,55.0,60.0,57.5
Bitter Gourd,2013-06-19,Kg,20.0,25.0,22.5
Bottle Gourd,2013-06-19,Kg,18.0,20.0,19.0
Pointed Gourd(Local),2013-06-19,Kg,30.0,35.0,32.5
Snake Gourd,2013-06-19,Kg,25.0,30.0,27.5
Smooth Gourd,2013-06-19,Kg,20.0,25.0,22.5
Sponge Gourd,2013-06-19,Kg,40.0,45.0,42.5
Pumpkin,2013-06-19,Kg,18.0,20.0,19.0
Squash(Long),2013-06-19,Kg,15.0,20.0,17.5
Turnip,2013-06-19,Kg,45.0,50.0,47.5
Okara,2013-06-19,Kg,35.0,40.0,37.5
Christophine,2013-06-19,Kg,35.0,40.0,37.5
Brd Leaf Mustard,2013-06-19,Kg,40.0,45.0,42.5
Spinach Leaf,2013-06-19,Kg,40.0,45.0,42.5
Cress Leaf,2013-06-19,Kg,40.0,45.0,42.5
Mustard Leaf,2013-06-19,Kg,35.0,40.0,37.5
Fenugreek Leaf,2013-06-19,Kg,40.0,45.0,42.5
Onion Green,2013-06-19,Kg,40.0,45.0,42.5
Mushroom(Kanya),2013-06-19,Kg,180.0,200.0,190.0
Asparagus,2013-06-19,Kg,100.0,125.0,112.5
Neuro,2013-06-19,Kg,40.0,50.0,45.0
Brocauli,2013-06-19,Kg,70.0,80.0,75.0
Sugarbeet,2013-06-19,Kg,45.0,50.0,47.5
Red Cabbbage,2013-06-19,Kg,70.0,80.0,75.0
Lettuce,2013-06-19,Kg,55.0,60.0,57.5
Celery,2013-06-19,Kg,120.0,130.0,125.0
Parseley,2013-06-19,Kg,180.0,190.0,185.0
Fennel Leaf,2013-06-19,Kg,45.0,50.0,47.5
Mint,2013-06-19,Kg,120.0,130.0,125.0
Turnip A,2013-06-19,Kg,45.0,50.0,47.5
Tamarind,2013-06-19,Kg,65.0,70.0,67.5
Bamboo Shoot,2013-06-19,Kg,50.0,60.0,55.0
Tofu,2013-06-19,Kg,55.0,60.0,57.5
Gundruk,2013-06-19,Kg,180.0,190.0,185.0
Apple(Jholey),2013-06-19,Kg,110.0,120.0,115.0
Banana,2013-06-19,Doz,70.0,80.0,75.0
Lime,2013-06-19,Kg,200.0,400.0,300.0
Pomegranate,2013-06-19,Kg,200.0,220.0,210.0
Mango(Maldah),2013-06-19,Kg,50.0,60.0,55.0
Grapes(Green),2013-06-19,Kg,250.0,260.0,255.0
Water Melon(Green),2013-06-19,Kg,14.0,16.0,15.0
Sweet Orange,2013-06-19,Kg,90.0,100.0,95.0
Pineapple,2013-06-19,1 Pc,70.0,80.0,75.0
Cucumber(Local),2013-06-19,Kg,30.0,35.0,32.5
Jack Fruit,2013-06-19,Kg,20.0,25.0,22.5
Papaya(Nepali),2013-06-19,Kg,60.0,65.0,62.5
Sugarcane,2013-06-19,1 Pc,50.0,60.0,55.0
Ginger,2013-06-19,Kg,140.0,150.0,145.0
Chilli Dry,2013-06-19,Kg,170.0,180.0,175.0
Chilli Green,2013-06-19,Kg,35.0,40.0,37.5
Capsicum,2013-06-19,Kg,55.0,60.0,57.5
Garlic Green,2013-06-19,Kg,45.0,50.0,47.5
Coriander Green,2013-06-19,Kg,90.0,100.0,95.0
Garlic Dry Chinese,2013-06-19,Kg,100.0,110.0,105.0
Garlic Dry Nepali,2013-06-19,Kg,50.0,60.0,55.0
Clive Dry,2013-06-19,Kg,70.0,80.0,75.0
Clive Green,2013-06-19,Kg,50.0,60.0,55.0
Fish Fresh,2013-06-19,Kg,210.0,220.0,215.0
Tomato Big(Nepali),2013-06-20,Kg,25.0,30.0,27.5
Tomato Small(Local),2013-06-20,Kg,22.0,26.0,24.0
Potato Red,2013-06-20,Kg,20.0,21.0,20.5
Potato White,2013-06-20,Kg,15.0,16.0,15.5
Onion Dry (Indian),2013-06-20,Kg,35.0,36.0,35.5
Carrot(Local),2013-06-20,Kg,40.0,42.0,41.0
Cabbage(Local),2013-06-20,Kg,10.0,15.0,12.5
Cauli Local,2013-06-20,Kg,20.0,25.0,22.5
Raddish Red,2013-06-20,Kg,35.0,40.0,37.5
Raddish White(Local),2013-06-20,Kg,28.0,32.0,30.0
Brinjal Long,2013-06-20,Kg,20.0,25.0,22.5
Brinjal Round,2013-06-20,Kg,25.0,30.0,27.5
Cow pea(Long),2013-06-20,Kg,30.0,35.0,32.5
Green Peas,2013-06-20,Kg,55.0,60.0,57.5
French Bean(Local),2013-06-20,Kg,30.0,40.0,35.0
Soyabean Green,2013-06-20,Kg,50.0,55.0,52.5
Bitter Gourd,2013-06-20,Kg,20.0,25.0,22.5
Bottle Gourd,2013-06-20,Kg,20.0,25.0,22.5
Pointed Gourd(Local),2013-06-20,Kg,30.0,35.0,32.5
Snake Gourd,2013-06-20,Kg,30.0,35.0,32.5
Smooth Gourd,2013-06-20,Kg,20.0,25.0,22.5
Sponge Gourd,2013-06-20,Kg,45.0,50.0,47.5
Pumpkin,2013-06-20,Kg,18.0,20.0,19.0
Squash(Long),2013-06-20,Kg,15.0,20.0,17.5
Turnip,2013-06-20,Kg,40.0,45.0,42.5
Okara,2013-06-20,Kg,35.0,40.0,37.5
Christophine,2013-06-20,Kg,35.0,40.0,37.5
Brd Leaf Mustard,2013-06-20,Kg,40.0,45.0,42.5
Spinach Leaf,2013-06-20,Kg,45.0,50.0,47.5
Cress Leaf,2013-06-20,Kg,45.0,50.0,47.5
Mustard Leaf,2013-06-20,Kg,35.0,40.0,37.5
Fenugreek Leaf,2013-06-20,Kg,45.0,50.0,47.5
Onion Green,2013-06-20,Kg,35.0,40.0,37.5
Mushroom(Kanya),2013-06-20,Kg,200.0,220.0,210.0
Asparagus,2013-06-20,Kg,100.0,120.0,110.0
Neuro,2013-06-20,Kg,50.0,60.0,55.0
Brocauli,2013-06-20,Kg,70.0,80.0,75.0
Sugarbeet,2013-06-20,Kg,35.0,40.0,37.5
Drumstick,2013-06-20,Kg,45.0,50.0,47.5
Red Cabbbage,2013-06-20,Kg,70.0,80.0,75.0
Lettuce,2013-06-20,Kg,45.0,50.0,47.5
Celery,2013-06-20,Kg,120.0,130.0,125.0
Parseley,2013-06-20,Kg,170.0,180.0,175.0
Fennel Leaf,2013-06-20,Kg,45.0,50.0,47.5
Mint,2013-06-20,Kg,120.0,130.0,125.0
Turnip A,2013-06-20,Kg,50.0,60.0,55.0
Tamarind,2013-06-20,Kg,65.0,70.0,67.5
Bamboo Shoot,2013-06-20,Kg,50.0,60.0,55.0
Tofu,2013-06-20,Kg,55.0,60.0,57.5
Gundruk,2013-06-20,Kg,180.0,190.0,185.0
Apple(Jholey),2013-06-20,Kg,110.0,120.0,115.0
Banana,2013-06-20,Doz,70.0,80.0,75.0
Lime,2013-06-20,Kg,200.0,400.0,300.0
Pomegranate,2013-06-20,Kg,190.0,200.0,195.0
Mango(Maldah),2013-06-20,Kg,50.0,60.0,55.0
Grapes(Green),2013-06-20,Kg,250.0,260.0,255.0
Water Melon(Green),2013-06-20,Kg,14.0,16.0,15.0
Sweet Orange,2013-06-20,Kg,90.0,100.0,95.0
Pineapple,2013-06-20,1 Pc,60.0,70.0,65.0
Cucumber(Local),2013-06-20,Kg,30.0,35.0,32.5
Jack Fruit,2013-06-20,Kg,20.0,25.0,22.5
Papaya(Nepali),2013-06-20,Kg,55.0,55.0,55.0
Sugarcane,2013-06-20,1 Pc,50.0,60.0,55.0
Ginger,2013-06-20,Kg,140.0,150.0,145.0
Chilli Dry,2013-06-20,Kg,170.0,180.0,175.0
Chilli Green,2013-06-20,Kg,40.0,50.0,45.0
Capsicum,2013-06-20,Kg,50.0,55.0,52.5
Garlic Green,2013-06-20,Kg,40.0,45.0,42.5
Coriander Green,2013-06-20,Kg,50.0,60.0,55.0
Garlic Dry Chinese,2013-06-20,Kg,100.0,110.0,105.0
Garlic Dry Nepali,2013-06-20,Kg,50.0,60.0,55.0
Clive Dry,2013-06-20,Kg,70.0,80.0,75.0
Clive Green,2013-06-20,Kg,70.0,80.0,75.0
Fish Fresh,2013-06-20,Kg,210.0,220.0,215.0
Tomato Big(Nepali),2013-06-21,Kg,25.0,30.0,27.5
Tomato Small(Local),2013-06-21,Kg,15.0,20.0,17.5
Potato Red,2013-06-21,Kg,21.0,22.0,21.5
Potato White,2013-06-21,Kg,16.0,17.0,16.5
Onion Dry (Indian),2013-06-21,Kg,34.0,35.0,34.5
Carrot(Local),2013-06-21,Kg,40.0,45.0,42.5
Cabbage(Local),2013-06-21,Kg,8.0,12.0,10.0
Cauli Local,2013-06-21,Kg,20.0,24.0,22.0
Raddish Red,2013-06-21,Kg,35.0,40.0,37.5
Raddish White(Local),2013-06-21,Kg,25.0,30.0,27.5
Brinjal Long,2013-06-21,Kg,18.0,22.0,20.0
Brinjal Round,2013-06-21,Kg,25.0,30.0,27.5
Cow pea(Long),2013-06-21,Kg,30.0,35.0,32.5
Green Peas,2013-06-21,Kg,55.0,60.0,57.5
French Bean(Local),2013-06-21,Kg,35.0,40.0,37.5
Soyabean Green,2013-06-21,Kg,55.0,60.0,57.5
Bitter Gourd,2013-06-21,Kg,18.0,22.0,20.0
Bottle Gourd,2013-06-21,Kg,20.0,22.0,21.0
Pointed Gourd(Local),2013-06-21,Kg,30.0,35.0,32.5
Snake Gourd,2013-06-21,Kg,35.0,40.0,37.5
Smooth Gourd,2013-06-21,Kg,18.0,22.0,20.0
Sponge Gourd,2013-06-21,Kg,45.0,50.0,47.5
Pumpkin,2013-06-21,Kg,18.0,20.0,19.0
Squash(Long),2013-06-21,Kg,18.0,20.0,19.0
Turnip,2013-06-21,Kg,45.0,50.0,47.5
Okara,2013-06-21,Kg,45.0,55.0,50.0
Christophine,2013-06-21,Kg,35.0,40.0,37.5
Brd Leaf Mustard,2013-06-21,Kg,45.0,50.0,47.5
Spinach Leaf,2013-06-21,Kg,45.0,50.0,47.5
Cress Leaf,2013-06-21,Kg,45.0,50.0,47.5
Mustard Leaf,2013-06-21,Kg,35.0,40.0,37.5
Fenugreek Leaf,2013-06-21,Kg,45.0,50.0,47.5
Onion Green,2013-06-21,Kg,35.0,40.0,37.5
Mushroom(Kanya),2013-06-21,Kg,180.0,200.0,190.0
Asparagus,2013-06-21,Kg,100.0,120.0,110.0
Neuro,2013-06-21,Kg,50.0,60.0,55.0
Brocauli,2013-06-21,Kg,70.0,80.0,75.0
Sugarbeet,2013-06-21,Kg,35.0,40.0,37.5
Drumstick,2013-06-21,Kg,45.0,50.0,47.5
Red Cabbbage,2013-06-21,Kg,70.0,80.0,75.0
Lettuce,2013-06-21,Kg,40.0,45.0,42.5
Celery,2013-06-21,Kg,120.0,130.0,125.0
Parseley,2013-06-21,Kg,180.0,190.0,185.0
Fennel Leaf,2013-06-21,Kg,45.0,50.0,47.5
Mint,2013-06-21,Kg,120.0,130.0,125.0
Turnip A,2013-06-21,Kg,45.0,50.0,47.5
Tamarind,2013-06-21,Kg,65.0,70.0,67.5
Bamboo Shoot,2013-06-21,Kg,50.0,60.0,55.0
Tofu,2013-06-21,Kg,55.0,60.0,57.5
Gundruk,2013-06-21,Kg,180.0,190.0,185.0
Apple(Jholey),2013-06-21,Kg,110.0,120.0,115.0
Banana,2013-06-21,Doz,70.0,80.0,75.0
Lime,2013-06-21,Kg,200.0,400.0,300.0
Pomegranate,2013-06-21,Kg,200.0,210.0,205.0
Mango(Maldah),2013-06-21,Kg,40.0,50.0,45.0
Grapes(Green),2013-06-21,Kg,250.0,260.0,255.0
Water Melon(Green),2013-06-21,Kg,16.0,18.0,17.0
Sweet Orange,2013-06-21,Kg,90.0,100.0,95.0
Pineapple,2013-06-21,1 Pc,60.0,70.0,65.0
Cucumber(Local),2013-06-21,Kg,25.0,30.0,27.5
Jack Fruit,2013-06-21,Kg,15.0,20.0,17.5
Papaya(Nepali),2013-06-21,Kg,55.0,60.0,57.5
Sugarcane,2013-06-21,1 Pc,50.0,60.0,55.0
Ginger,2013-06-21,Kg,130.0,140.0,135.0
Chilli Dry,2013-06-21,Kg,170.0,180.0,175.0
Chilli Green,2013-06-21,Kg,50.0,60.0,55.0
Capsicum,2013-06-21,Kg,50.0,55.0,52.5
Garlic Green,2013-06-21,Kg,45.0,50.0,47.5
Coriander Green,2013-06-21,Kg,50.0,70.0,60.0
Garlic Dry Chinese,2013-06-21,Kg,100.0,110.0,105.0
Garlic Dry Nepali,2013-06-21,Kg,50.0,60.0,55.0
Clive Dry,2013-06-21,Kg,70.0,80.0,75.0
Clive Green,2013-06-21,Kg,50.0,60.0,55.0
Fish Fresh,2013-06-21,Kg,210.0,220.0,215.0
Tomato Big(Nepali),2013-06-25,Kg,30.0,35.0,32.5
Tomato Small(Local),2013-06-25,Kg,25.0,30.0,27.5
Potato Red,2013-06-25,Kg,23.0,25.0,24.0
Potato White,2013-06-25,Kg,17.0,18.0,17.5
Onion Dry (Indian),2013-06-25,Kg,33.0,35.0,34.0
Carrot(Local),2013-06-25,Kg,40.0,45.0,42.5
Cabbage(Local),2013-06-25,Kg,10.0,15.0,12.5
Cauli Local,2013-06-25,Kg,20.0,25.0,22.5
Raddish Red,2013-06-25,Kg,40.0,45.0,42.5
Raddish White(Local),2013-06-25,Kg,20.0,25.0,22.5
Brinjal Long,2013-06-25,Kg,35.0,40.0,37.5
Brinjal Round,2013-06-25,Kg,30.0,35.0,32.5
Cow pea(Long),2013-06-25,Kg,40.0,45.0,42.5
